Model Prediction	Tags	Tokens
O	O	the
O	O	CPO
O	O	gene
O	O	.
O	O	Only
O	O	11
O	O	mutations
O	O	of
O	O	the
O	O	gene
O	O	have
O	O	been
O	O	reported
O	O	in
B	B	HCP
O	O	patients
O	O	.
O	O	We
O	O	report
O	O	another
O	O	mutation
O	O	in
O	O	a
O	O	Japanese
O	O	family
O	O	.
O	O	Polymerase
O	O	chain
O	O	reaction
O	O	-
O	O	single
O	O	strand
O	O	conformational
O	O	polymorphism
O	O	and
O	O	direct
O	O	sequence
O	O	analyses
O	O	demonstrated
O	O	a
O	O	C
O	O	to
O	O	T
O	O	substitution
O	O	in
O	O	exon
O	O	1
O	O	of
O	O	the
O	O	CPO
O	O	gene
O	O	at
O	O	nucleotide
O	O	position
O	O	85
O	O	,
O	O	which
O	O	lies
O	O	in
O	O	the
O	O	putative
O	O	presequence
O	O	for
O	O	targeting
O	O	to
O	O	mitochondria
O	O	.
O	O	This
O	O	mutation
O	O	changes
O	O	the
O	O	codon
O	O	for
O	O	glutamine
O	O	to
O	O	a
O	O	termination
O	O	codon
O	O	at
O	O	amino
O	O	acid
O	O	position
O	O	29
O	O	.
O	O	MaeI
O	O	restriction
O	O	analysis
O	O	showed
O	O	two
O	O	other
O	O	carriers
O	O	in
O	O	the
O	O	family
O	O	.
O	O	The
O	O	C
O	O	-
O	O	T
O	O	mutation
O	O	is
O	O	located
O	O	within
O	O	a
O	O	recently
O	O	proposed
O	O	putative
O	O	alternative
O	O	translation
O	O	initiation
O	O	codon
O	O	(
O	O	TIC
O	O	-
O	O	1
O	O	)
O	O	,
O	O	supporting
O	O	that
O	O	TIC
O	O	-
O	O	1
O	O	is
O	O	the
O	O	real
O	O	TIC
O	O	rather
O	O	than
O	O	TIC
O	O	-
O	O	2
O	O	.
O	O	.
O	B	Human
B	I	complement
I	I	factor
I	I	H
I	I	deficiency
O	O	associated
O	O	with
B	B	hemolytic
I	I	uremic
I	I	syndrome
O	O	.
O	O	This
O	O	study
O	O	reports
O	O	on
O	O	six
O	O	cases
O	O	of
B	B	deficiency
O	I	in
O	I	the
O	I	human
O	I	complement
O	I	regulatory
O	I	protein
O	I	Factor
O	I	H
O	O	(
O	O	FH
O	O	)
O	O	in
O	O	the
O	O	context
O	O	of
O	O	an
B	B	acute
B	I	renal
I	I	disease
O	O	.
O	O	Five
O	O	of
O	O	the
O	O	cases
O	O	were
O	O	observed
O	O	in
O	O	children
O	O	presenting
O	O	with
B	O	idiopathic
I	B	hemolytic
I	I	uremic
I	I	syndrome
O	O	(
B	B	HUS
O	O	)
O	O	.
O	O	Two
O	O	of
O	O	the
O	O	children
O	O	exhibited
O	O	a
O	O	homozygous
O	O	deficiency
O	O	characterized
O	O	by
O	O	the
O	O	absence
O	O	of
O	O	the
O	O	150
O	O	-
O	O	kD
O	O	form
O	O	of
O	O	Factor
O	O	H
O	O	and
O	O	the
O	O	presence
O	O	,
O	O	upon
O	O	immunoblotting
O	O	,
O	O	of
O	O	the
O	O	42
O	O	-
O	O	kD
O	O	Factor
O	O	H
O	O	-
O	O	like
O	O	protein
O	O	1
O	O	(
O	O	FHL
O	O	-
O	O	1
O	O	)
O	O	and
O	O	other
O	O	FH
O	O	-
O	O	related
O	O	protein
O	O	(
O	O	FHR
O	O	)
O	O	bands
O	O	.
O	O	Southern
O	O	blot
O	O	and
O	O	PCR
O	O	analysis
O	O	of
O	O	DNA
O	O	of
O	O	one
O	O	patient
O	O	with
B	O	homozygous
B	O	deficiency
O	O	ruled
O	O	out
O	O	the
O	O	presence
O	O	of
O	O	a
O	O	large
O	O	deletion
O	O	of
O	O	the
B	O	FH
O	O	gene
O	O	as
O	O	the
O	O	underlying
O	O	defect
O	O	for
O	O	the
O	O	deficiency
O	O	.
O	O	The
O	O	other
O	O	four
O	O	children
O	O	presented
O	O	with
O	O	heterozygous
O	O	deficiency
O	O	and
O	O	exhibited
O	O	a
O	O	normal
O	O	immunoblotting
O	O	pattern
O	O	of
O	O	proteins
O	O	of
O	O	the
B	O	FH
O	O	family
O	O	.
B	B	Factor
I	I	H
I	I	deficiency
O	O	is
O	O	the
O	O	only
B	B	complement
I	I	deficiency
O	O	associated
O	O	with
B	B	HUS
O	O	.
O	O	These
O	O	observations
O	O	suggest
O	O	a
O	O	role
O	O	for
O	O	FH
O	O	and
O	O	/
O	O	or
B	O	FH
O	O	receptors
O	O	in
O	O	the
O	O	pathogenesis
O	O	of
B	O	idiopathic
I	B	HUS
O	O	.
O	O	.
O	O	Further
O	O	evidence
O	O	for
O	O	a
O	O	major
O	O	ancient
O	O	mutation
O	O	underlying
B	B	myotonic
I	I	dystrophy
O	O	from
O	O	linkage
O	O	disequilibrium
O	O	studies
O	O	in
O	O	the
O	O	Japanese
O	O	population
O	O	.
O	O	The
B	B	myotonic
I	I	dystrophy
O	O	(
B	B	DM
O	O	)
O	O	mutation
O	O	is
O	O	an
O	O	unstable
O	O	(
O	O	CTG
O	O	)
O	O	n
O	O	repeat
O	O	,
O	O	present
O	O	at
O	O	a
O	O	copy
O	O	number
O	O	of
O	O	5
O	O	-
O	O	37
O	O	repeats
O	O	on
O	O	normal
O	O	chromosomes
O	O	but
O	O	amplified
O	O	to
O	O	50
O	O	-
O	O	3000
O	O	copies
O	O	on
B	B	DM
O	O	chromosomes
O	O	.
O	O	Previous
O	O	findings
O	O	in
O	O	Caucasian
O	O	populations
O	O	of
O	O	a
B	B	DM
O	O	founder
O	O	chromosome
O	O	raise
O	O	a
O	O	question
O	O	about
O	O	the
O	O	molecular
O	O	events
O	O	involved
O	O	in
O	O	the
O	O	expansion
O	O	mutation
O	O	.
O	O	To
O	O	investigate
O	O	whether
O	O	a
O	O	founder
O	O	chromosome
O	O	for
O	O	the
B	B	DM
O	O	mutation
O	O	exists
O	O	in
O	O	the
O	O	Japanese
O	O	population
O	O	,
O	O	we
O	O	genotyped
O	O	families
O	O	using
O	O	polymorphic
O	O	markers
O	O	near
O	O	the
O	O	(
O	O	CTG
O	O	)
O	O	n
O	O	repeat
O	O	region
O	O	and
O	O	constructed
O	O	haplotypes
O	O	.
O	O	Six
O	O	different
O	O	haplotypes
O	O	were
O	O	found
O	O	and
B	B	DM
O	O	alleles
O	O	were
O	O	always
O	O	haplotype
O	O	A
O	O	.
O	O	To
O	O	find
O	O	an
O	O	origin
O	O	of
O	O	the
O	O	(
O	O	CTG
O	O	)
O	O	n
O	O	repeat
O	O	mutation
O	O	and
O	O	to
O	O	investigate
O	O	the
O	O	mechanism
O	O	of
O	O	the
O	O	expansion
O	O	mutation
O	O	in
O	O	the
O	O	Japanese
O	O	population
O	O	we
O	O	have
O	O	studied
O	O	90
O	O	Japanese
B	B	DM
O	O	families
O	O	comprising
O	O	190
O	O	affected
O	O	and
O	O	130
O	O	unaffected
O	O	members
O	O	.
O	O	The
O	O	results
O	O	suggest
O	O	that
O	O	a
O	O	few
O	O	common
O	O	ancestral
O	O	mutations
O	O	in
O	O	both
O	O	Caucasian
O	O	and
O	O	Japanese
O	O	populations
O	O	have
O	O	originated
O	O	by
O	O	expansion
O	O	of
O	O	an
O	O	ancestral
O	O	n
O	O	=
O	O	5
O	O	repeat
O	O	to
O	O	n
O	O	=
O	O	19
O	O	-
O	O	37
O	O	copies
O	O	.
O	O	These
O	O	data
O	O	support
O	O	multistep
O	O	models
O	O	of
O	O	triplet
O	O	repeat
O	O	expansion
O	O	that
O	O	have
O	O	been
O	O	proposed
O	O	for
O	O	both
B	B	DM
O	O	and
B	B	Friedreichs
I	I	ataxia
O	O	.
O	O	.
O	O	The
O	O	molecular
O	O	basis
O	O	of
B	B	C6
I	I	deficiency
O	O	in
O	O	the
O	O	western
O	O	Cape
O	O	,
O	O	South
O	O	Africa
O	O	.
B	B	Deficiency
I	I	of
I	I	the
I	I	sixth
I	I	component
I	I	of
I	I	human
I	I	complement
O	O	(
B	O	C6
O	O	)
O	O	has
O	O	been
O	O	reported
O	O	in
O	O	a
O	O	number
O	O	of
O	O	families
O	O	from
O	O	the
O	O	western
O	O	Cape
O	O	,
O	O	South
O	O	Africa
O	O	.
B	B	Meningococcal
I	I	disease
O	O	is
O	O	endemic
O	O	in
O	O	the
O	O	Cape
O	O	and
O	O	almost
O	O	all
O	O	pedigrees
O	O	of
B	O	total
B	B	C6
I	I	deficiency
O	O	(
B	O	C6Q0
O	O	)
O	O	have
O	O	been
O	O	ascertained
O	O	because
O	O	of
O	O	recurrent
O	O	disease
O	O	.
O	O	We
O	O	have
O	O	sequenced
O	O	the
O	O	expressed
O	O	exons
O	O	of
O	O	the
O	O	C6
O	O	gene
O	O	from
O	O	selected
O	O	cases
O	O	and
O	O	have
O	O	found
O	O	three
O	O	molecular
O	O	defects
O	O	leading
O	O	to
O	O	total
O	O	deficiency
O	O	879delG
O	O	,
O	O	which
O	O	is
O	O	the
O	O	common
O	O	defect
O	O	in
O	O	the
O	O	Cape
O	O	and
O	O	hitherto
O	O	unreported
O	O	,
O	O	and
O	O	1195delC
O	O	and
O	O	1936delG
O	O	,
O	O	which
O	O	have
O	O	been
O	O	previously
O	O	reported
O	O	in
O	O	African
O	O	-
O	O	Americans
O	O	.
O	O	We
O	O	also
O	O	show
O	O	that
O	O	the
O	O	879delG
O	O	and
O	O	1195delC
O	O	defects
O	O	are
O	O	associated
O	O	with
O	O	characteristic
O	O	C6
O	O	/
O	O	C7
O	O	region
O	O	DNA
O	O	marker
O	O	haplotypes
O	O	,
O	O	although
O	O	small
O	O	variations
O	O	were
O	O	observed
O	O	.
O	O	The
O	O	1936delG
O	O	defect
O	O	was
O	O	observed
O	O	only
O	O	once
O	O	in
O	O	the
O	O	Cape
O	O	,
O	O	but
O	O	its
O	O	associated
O	O	haplotype
O	O	could
O	O	be
O	O	deduced
O	O	.
O	O	The
O	O	data
O	O	from
O	O	the
O	O	haplotypes
O	O	indicate
O	O	that
O	O	these
O	O	three
O	O	molecular
O	O	defects
O	O	account
O	O	for
O	O	the
O	O	defects
O	O	in
O	O	all
O	O	the
O	O	38
O	O	unrelated
O	O	C6Q0
O	O	individuals
O	O	we
O	O	have
O	O	studied
O	O	from
O	O	the
O	O	Cape
O	O	.
O	O	We
O	O	have
O	O	also
O	O	observed
O	O	the
O	O	879delG
O	O	defect
O	O	in
O	O	two
O	O	Dutch
B	B	C6
I	I	-
I	I	deficient
O	O	kindreds
O	O	,
O	O	but
O	O	the
O	O	879delG
O	O	defect
O	O	in
O	O	the
O	O	Cape
O	O	probably
O	O	did
O	O	not
O	O	come
O	O	from
O	O	The
O	O	Netherlands
O	O	.
O	O	.
B	B	Complement
I	I	C7
I	I	deficiency
O	O	:
O	O	seven
O	O	further
B	O	molecular
I	O	defects
O	O	and
O	O	their
O	O	associated
O	O	marker
O	O	haplotypes
O	O	.
O	O	Seven
O	O	further
O	O	molecular
O	O	bases
O	O	of
B	B	C7
I	I	deficiency
O	O	are
O	O	described
O	O	.
O	O	All
O	O	these
O	O	new
O	O	molecular
O	O	defects
O	O	involve
O	O	single
O	O	-
O	O	nucleotide
O	O	events
O	O	,
O	O	deletions
O	O	and
O	O	substitutions
O	O	,
O	O	some
O	O	of
O	O	which
O	O	alter
O	O	splice
O	O	sites
O	O	,
O	O	and
O	O	others
O	O	codons
O	O	.
O	O	They
O	O	are
O	O	distributed
O	O	along
O	O	the
O	O	C7
O	O	gene
O	O	,
O	O	but
O	O	predominantly
O	O	towards
O	O	the
O	O	3
O	O	end
O	O	.
O	O	All
O	O	were
O	O	found
O	O	in
O	O	compound
O	O	heterozygous
O	O	individuals
O	O	.
O	O	The
O	O	C6
O	O	/
O	O	C7
O	O	marker
O	O	haplotypes
O	O	associated
O	O	with
O	O	most
B	B	C7
O	I	defects
O	O	are
O	O	tabulated
O	O	.
O	O	.
O	O	A
O	O	genome
O	O	-
O	O	wide
O	O	search
O	O	for
O	O	chromosomal
O	O	loci
O	O	linked
O	O	to
B	O	mental
O	O	health
O	O	wellness
O	O	in
O	O	relatives
O	O	at
O	O	high
O	O	risk
O	O	for
B	B	bipolar
I	I	affective
I	I	disorder
O	O	among
O	O	the
O	O	Old
O	O	Order
O	O	Amish
O	O	.
B	B	Bipolar
I	I	affective
I	I	disorder
O	O	(
B	B	BPAD
O	O	;
B	B	manic
I	I	-
I	I	depressive
I	I	illness
O	O	)
O	O	is
O	O	characterized
O	O	by
O	O	episodes
O	O	of
B	B	mania
O	O	and
O	O	/
O	O	or
B	B	hypomania
O	O	interspersed
O	O	with
O	O	periods
O	O	of
B	B	depression
B	O	.
O	O	Compelling
O	O	evidence
O	O	supports
O	O	a
O	O	significant
O	O	genetic
O	O	component
O	O	in
O	O	the
O	O	susceptibility
O	O	to
O	O	develop
B	B	BPAD
O	O	.
O	O	To
O	O	date
O	O	,
O	O	however
O	O	,
O	O	linkage
O	O	studies
O	O	have
O	O	attempted
O	O	only
O	O	to
O	O	identify
O	O	chromosomal
O	O	loci
O	O	that
O	O	cause
O	O	or
O	O	increase
O	O	the
O	O	risk
O	O	of
O	O	developing
B	B	BPAD
O	O	.
O	O	To
O	O	determine
O	O	whether
O	O	there
O	O	could
O	O	be
O	O	protective
O	O	alleles
O	O	that
O	O	prevent
O	O	or
O	O	reduce
O	O	the
O	O	risk
O	O	of
O	O	developing
B	B	BPAD
O	O	,
O	O	similar
O	O	to
O	O	what
O	O	is
O	O	observed
O	O	in
O	O	other
B	B	genetic
O	I	disorders
O	O	,
O	O	we
O	O	used
B	O	mental
O	O	health
O	O	wellness
O	O	(
O	O	absence
O	O	of
O	O	any
B	B	psychiatric
I	I	disorder
O	O	)
O	O	as
O	O	the
O	O	phenotype
O	O	in
O	O	our
O	O	genome
O	O	-
O	O	wide
O	O	linkage
O	O	scan
O	O	of
O	O	several
O	O	large
O	O	multigeneration
O	O	Old
O	O	Order
O	O	Amish
O	O	pedigrees
O	O	exhibiting
O	O	an
O	O	extremely
O	O	high
O	O	incidence
O	O	of
B	B	BPAD
O	O	.
O	O	We
O	O	have
O	O	found
O	O	strong
O	O	evidence
O	O	for
O	O	a
O	O	locus
O	O	on
O	O	chromosome
O	O	4p
O	O	at
O	O	D4S2949
O	O	(
O	O	maximum
O	O	GENEHUNTER
O	O	-
O	O	PLUS
O	O	nonparametric
O	O	linkage
O	O	score
O	O	=
O	O	4
O	O	.
O	O	05
O	O	,
O	O	P
O	O	=
O	O	5
O	O	.
O	O	22
O	O	x
O	O	10
O	O	(
O	O	-
O	O	4
O	O	)
O	O	;
O	O	SIBPAL
O	O	Pempirical
O	O	value
O	O	<
O	O	3
O	O	x
O	O	10
O	O	(
O	O	-
O	O	5
O	O	)
O	O	)
O	O	and
O	O	suggestive
O	O	evidence
O	O	for
O	O	a
O	O	locus
O	O	on
O	O	chromosome
O	O	4q
O	O	at
O	O	D4S397
O	O	(
O	O	maximum
O	O	GENEHUNTER
O	O	-
O	O	PLUS
O	O	nonparametric
O	O	linkage
O	O	score
O	O	=
O	O	3
O	O	.
O	O	29
O	O	,
O	O	P
O	O	=
O	O	2
O	O	.
O	O	57
O	O	x
O	O	10
O	O	(
O	O	-
O	O	3
O	O	)
O	O	;
O	O	SIBPAL
O	O	Pempirical
O	O	value
O	O	<
O	O	1
O	O	x
O	O	10
O	O	(
O	O	-
O	O	3
O	O	)
O	O	)
O	O	that
O	O	are
O	O	linked
O	O	to
B	O	mental
O	O	health
O	O	wellness
O	O	.
O	O	These
O	O	findings
O	O	are
O	O	consistent
O	O	with
O	O	the
O	O	hypothesis
O	O	that
O	O	certain
O	O	alleles
O	O	could
O	O	prevent
O	O	or
O	O	modify
O	O	the
O	O	clinical
O	O	manifestations
O	O	of
B	B	BPAD
O	O	and
O	O	perhaps
O	O	other
O	O	related
B	B	affective
O	I	disorders
O	O	.
O	O	Segregation
O	O	distortion
O	O	in
B	B	myotonic
I	I	dystrophy
O	O	.
B	B	Myotonic
I	I	dystrophy
O	O	(
B	B	DM
O	O	)
O	O	is
O	O	an
B	B	autosomal
O	I	dominant
I	I	disease
O	O	which
O	O	,
O	O	in
O	O	the
O	O	typical
O	O	pedigree
O	O	,
O	O	shows
O	O	a
O	O	three
O	O	generation
O	O	anticipation
O	O	cascade
O	O	.
O	O	This
O	O	results
O	O	in
B	B	infertility
O	O	and
B	B	congenital
I	I	myotonic
I	I	dystrophy
O	O	(
B	B	CDM
O	O	)
O	O	with
O	O	the
O	O	disappearance
O	O	of
B	B	DM
O	O	in
O	O	that
O	O	pedigree
O	O	.
O	O	The
O	O	concept
O	O	of
O	O	segregation
O	O	distortion
O	O	,
O	O	where
O	O	there
O	O	is
O	O	preferential
O	O	transmission
O	O	of
O	O	the
O	O	larger
O	O	allele
O	O	at
O	O	the
B	B	DM
O	O	locus
O	O	,
O	O	has
O	O	been
O	O	put
O	O	forward
O	O	to
O	O	explain
O	O	partially
O	O	the
O	O	maintenance
O	O	of
B	B	DM
O	O	in
O	O	the
O	O	population
O	O	.
O	O	In
O	O	a
O	O	survey
O	O	of
B	B	DM
O	O	in
O	O	Northern
O	O	Ireland
O	O	,
O	O	59
O	O	pedigrees
O	O	were
O	O	ascertained
O	O	.
O	O	Sibships
O	O	where
O	O	the
O	O	status
O	O	of
O	O	all
O	O	the
O	O	members
O	O	had
O	O	been
O	O	identified
O	O	were
O	O	examined
O	O	to
O	O	determine
O	O	the
O	O	transmission
O	O	of
O	O	the
B	B	DM
O	O	expansion
O	O	from
O	O	affected
O	O	parents
O	O	to
O	O	their
O	O	offspring
O	O	.
O	O	Where
O	O	the
O	O	transmitting
O	O	parent
O	O	was
O	O	male
O	O	,
O	O	58
O	O	.
O	O	3
O	O	%
O	O	of
O	O	the
O	O	offspring
O	O	were
O	O	affected
O	O	,
O	O	and
O	O	in
O	O	the
O	O	case
O	O	of
O	O	a
O	O	female
O	O	transmitting
O	O	parent
O	O	,
O	O	68
O	O	.
O	O	7
O	O	%
O	O	were
O	O	affected
O	O	.
O	O	Studies
O	O	on
O	O	meiotic
O	O	drive
O	O	in
B	B	DM
O	O	have
O	O	shown
O	O	increased
O	O	transmission
O	O	of
O	O	the
O	O	larger
O	O	allele
O	O	at
O	O	the
B	B	DM
O	O	locus
O	O	in
O	O	non
O	O	-
B	O	DM
O	O	heterozygotes
O	O	for
O	O	CTGn
O	O	.
O	O	This
O	O	study
O	O	provides
O	O	further
O	O	evidence
O	O	that
O	O	the
B	B	DM
O	O	expansion
O	O	tends
O	O	to
O	O	be
O	O	transmitted
O	O	preferentially
O	O	.
O	O	Diagnosis
O	O	of
B	B	hemochromatosis
O	O	.
O	O	If
O	O	untreated
O	O	,
B	B	hemochromatosis
O	O	can
O	O	cause
O	O	serious
O	O	illness
O	O	and
O	B	early
O	I	death
O	O	,
O	O	but
O	O	the
O	O	disease
O	O	is
O	O	still
O	O	substantially
O	O	under
O	O	-
O	O	diagnosed
O	O	.
O	O	The
O	O	cornerstone
O	O	of
O	O	screening
O	O	and
O	O	case
O	O	detection
O	O	is
O	O	the
O	O	measurement
O	O	of
O	O	serum
O	O	transferrin
O	O	saturation
O	O	and
O	O	the
O	O	serum
O	O	ferritin
O	O	level
O	O	.
O	O	Once
O	O	the
O	O	diagnosis
O	O	is
O	O	suspected
O	O	,
O	O	physicians
O	O	must
O	O	use
O	O	serum
O	O	ferritin
O	O	levels
O	O	and
O	O	hepatic
O	O	iron
O	O	stores
O	O	on
O	O	liver
O	O	biopsy
O	O	specimens
O	O	to
O	O	assess
O	O	patients
O	O	for
O	O	the
O	O	presence
O	O	of
O	B	iron
O	I	overload
O	O	.
O	O	Liver
O	O	biopsy
O	O	is
O	O	also
O	O	used
O	O	to
O	O	establish
O	O	the
O	O	presence
O	O	or
O	O	absence
O	O	of
B	B	cirrhosis
O	O	,
O	O	which
O	O	can
O	O	affect
O	O	prognosis
O	O	and
O	O	management
O	O	.
O	O	A
O	O	DNA
O	O	-
O	O	based
O	O	test
O	O	for
O	O	the
O	O	HFE
O	O	gene
O	O	is
O	O	commercially
O	O	available
O	O	,
O	O	but
O	O	its
O	O	place
O	O	in
O	O	the
O	O	diagnosis
O	O	of
B	B	hemochromatosis
O	O	is
O	O	still
O	O	being
O	O	evaluated
O	O	.
O	O	Currently
O	O	,
O	O	the
O	O	most
O	O	useful
O	O	role
O	O	for
O	O	this
O	O	test
O	O	is
O	O	in
O	O	the
O	O	detection
O	O	of
B	B	hemochromatosis
O	O	in
O	O	the
O	O	family
O	O	members
O	O	of
O	O	patients
O	O	with
O	O	a
O	O	proven
O	O	case
O	O	of
O	O	the
O	O	disease
O	O	.
O	O	It
O	O	is
O	O	crucial
O	O	to
O	O	diagnose
B	B	hemochromatosis
O	O	before
B	B	hepatic
I	I	cirrhosis
O	O	develops
O	O	because
B	O	phlebotomy
O	O	therapy
O	O	can
O	O	avert
O	O	serious
B	O	chronic
I	O	disease
O	O	and
O	O	can
O	O	even
O	O	lead
O	O	to
O	O	normal
O	O	life
O	O	expectancy
O	O	.
O	O	.
O	O	Prevalence
O	O	of
O	O	the
O	O	I1307K
B	B	APC
O	O	gene
O	O	variant
O	O	in
O	O	Israeli
O	O	Jews
O	O	of
O	O	differing
O	O	ethnic
O	O	origin
O	O	and
O	O	risk
O	O	for
B	B	colorectal
I	I	cancer
O	O	.
O	O	BACKGROUND
O	O	&
O	O	AIMS
O	O	Israeli
O	O	Jews
O	O	of
O	O	European
O	O	birth
O	O	,
O	O	i
O	O	.
O	O	e
O	O	.
O	O	,
O	O	Ashkenazim
O	O	,
O	O	have
O	O	the
O	O	highest
B	B	colorectal
I	I	cancer
O	O	incidence
O	O	of
O	O	any
O	O	Israeli
O	O	ethnic
O	O	group
O	O	.
O	O	The
O	O	I1307K
B	B	APC
O	O	gene
O	O	variant
O	O	was
O	O	found
O	O	in
O	O	6
O	O	.
O	O	1
O	O	%
O	O	of
O	O	American
O	O	Jews
O	O	,
O	O	28
O	O	%
O	O	of
O	O	their
B	O	familial
I	B	colorectal
I	I	cancer
O	O	cases
O	O	,
O	O	but
O	O	not
O	O	in
O	O	non
O	O	-
O	O	Jews
O	O	.
O	O	We
O	O	assessed
O	O	the
O	O	I1307K
O	O	prevalence
O	O	in
O	O	Israeli
O	O	Jews
O	O	of
O	O	differing
O	O	ethnic
O	O	origin
O	O	and
O	O	risk
O	O	for
B	B	colorectal
I	I	cancer
O	O	.
O	O	METHODS
O	O	DNA
O	O	samples
O	O	from
O	O	500
O	O	unrelated
O	O	Jews
O	O	of
O	O	European
O	O	or
O	O	non
O	O	-
O	O	European
O	O	origin
O	O	,
O	O	with
O	O	or
O	O	without
O	O	a
O	O	personal
O	O	and
O	O	/
O	O	or
O	O	family
O	O	history
O	O	of
B	B	neoplasia
O	O	,
O	O	were
O	O	examined
O	O	for
O	O	the
O	O	I1307K
O	O	variant
O	O	by
O	O	the
O	O	allele
O	O	-
O	O	specific
O	O	oligonucleotide
O	O	(
O	O	ASO
O	O	)
O	O	method
O	O	.
O	O	RESULTS
O	O	In
O	O	persons
O	O	at
O	O	average
O	O	risk
O	O	for
B	B	colorectal
I	I	cancer
O	O	,
O	O	I1307K
O	O	was
O	O	found
O	O	in
O	O	5
O	O	.
O	O	0
O	O	%
O	O	of
O	O	120
O	O	European
O	O	and
O	O	1
O	O	.
O	O	6
O	O	%
O	O	of
O	O	188
O	O	non
O	O	-
O	O	European
O	O	Jews
O	O	(
O	O	P
O	O	=
O	O	0
O	O	.
O	O	08
O	O	)
O	O	.
O	O	It
O	O	occurred
O	O	in
O	O	15
O	O	.
O	O	4
O	O	%
O	O	of
O	O	52
O	O	Ashkenazi
O	O	Israelis
O	O	with
B	O	familial
I	B	cancer
O	O	(
O	O	P
O	O	=
O	O	0
O	O	.
O	O	02
O	O	)
O	O	and
O	O	was
O	O	not
O	O	detected
O	O	in
O	O	51
O	O	non
O	O	-
O	O	European
O	O	Jews
O	O	at
O	O	increased
B	B	cancer
O	O	risk
O	O	.
B	B	Colorectal
I	I	neoplasia
O	O	occurred
O	O	personally
O	O	or
O	O	in
O	O	the
O	O	families
O	O	of
O	O	13
O	O	of
O	O	20
O	O	Ashkenazi
O	O	I1307K
O	O	carriers
O	O	,
O	O	8
O	O	of
O	O	whom
O	O	also
O	O	had
O	O	a
O	O	personal
O	O	or
O	O	family
O	O	history
O	O	of
B	O	noncolonic
I	B	neoplasia
O	O	.
O	O	CONCLUSIONS
O	O	The
O	O	I1307K
B	O	APC
O	O	variant
O	O	may
O	O	represent
O	O	a
O	O	susceptibility
O	O	gene
O	O	for
B	B	colorectal
I	I	,
O	I	or
I	I	other
O	I	,
I	I	cancers
O	O	in
O	O	Ashkenazi
O	O	Jews
O	O	,
O	O	and
O	O	partially
O	O	explains
O	O	the
O	O	higher
O	O	incidence
O	O	of
B	B	colorectal
I	I	cancer
O	O	in
O	O	European
O	O	Israelis
O	O	.
O	O	Systematic
O	O	analysis
O	O	of
O	O	coproporphyrinogen
O	O	oxidase
O	O	gene
O	O	defects
O	O	in
B	B	hereditary
I	I	coproporphyria
O	O	and
O	O	mutation
O	O	update
O	O	.
B	B	Hereditary
I	I	coproporphyria
O	O	(
B	B	HC
O	O	)
O	O	is
O	O	an
O	O	acute
B	B	hepatic
I	I	porphyria
O	O	with
O	O	autosomal
O	O	dominant
O	O	inheritance
O	O	caused
O	O	by
O	B	deficient
O	I	activity
O	I	of
O	I	coproporphyrinogen
O	I	III
O	I	oxidase
O	O	(
O	O	CPO
O	O	)
O	O	.
O	O	Clinical
O	O	manifestations
O	O	of
O	O	the
O	O	disease
O	O	are
O	O	characterized
O	O	by
O	O	acute
O	O	attacks
O	O	of
B	B	neurological
I	I	dysfunction
O	O	often
O	O	precipitated
O	O	by
O	O	drugs
O	O	,
O	O	fasting
O	O	,
O	O	cyclical
O	O	hormonal
O	O	changes
O	O	,
O	O	or
B	B	infectious
O	I	diseases
O	O	.
O	O	Skin
O	O	photosensitivity
O	O	may
O	O	also
O	O	be
O	O	present
O	O	.
O	O	The
O	O	seven
O	O	exons
O	O	,
O	O	the
O	O	exon
O	O	/
O	O	intron
O	O	boundaries
O	O	and
O	O	part
O	O	of
O	O	3
O	O	noncoding
O	O	sequence
O	O	of
O	O	the
O	O	CPO
O	O	gene
O	O	were
O	O	systematically
O	O	analyzed
O	O	by
O	O	an
O	O	exon
O	O	-
O	O	by
O	O	-
O	O	exon
O	O	denaturing
O	O	gradient
O	O	gel
O	O	electrophoresis
O	O	(
O	O	DGGE
O	O	)
O	O	strategy
O	O	followed
O	O	by
O	O	direct
O	O	sequencing
O	O	in
O	O	seven
O	O	unrelated
O	O	heterozygous
B	B	HC
O	O	patients
O	O	from
O	O	France
O	O	,
O	O	Holland
O	O	,
O	O	and
O	O	Czech
O	O	Republic
O	O	.
O	O	Seven
O	O	novel
O	O	mutations
O	O	and
O	O	two
O	O	new
O	O	polymorphisms
O	O	were
O	O	detected
O	O	.
O	O	Among
O	O	these
O	O	mutations
O	O	two
O	O	are
O	O	missense
O	O	(
O	O	G197W
O	O	,
O	O	W427R
O	O	)
O	O	,
O	O	two
O	O	are
O	O	nonsense
O	O	(
O	O	Q306X
O	O	,
O	O	Q385X
O	O	)
O	O	,
O	O	two
O	O	are
O	O	small
O	O	deletions
O	O	(
O	O	662de14bp
O	O	;
O	O	1168del3bp
O	O	removing
O	O	a
O	O	glycine
O	O	at
O	O	position
O	O	390
O	O	)
O	O	,
O	O	and
O	O	one
O	O	is
O	O	a
O	O	splicing
O	O	mutation
O	O	(
O	O	IVS1
O	O	-
O	O	15c
O	O	-
O	O	-
O	O	>
O	O	g
O	O	)
O	O	which
O	O	creates
O	O	a
O	O	new
O	O	acceptor
O	O	splice
O	O	site
O	O	.
O	O	The
O	O	pathological
O	O	significance
O	O	of
O	O	the
O	O	point
O	O	mutations
O	O	G197W
O	O	,
O	O	W427R
